method_key,method_label,image_id,haze_level,psnr,ssim_gaussian11,deltaE00
psmbnet,PSMB-Net,satehaze1k_test_thick_044,thick,24.014127731323242,0.9328227043151855,6.0110883712768555
psmbnet,PSMB-Net,satehaze1k_test_thick_045,thick,23.73304557800293,0.9413082003593445,6.879187107086182
trinitynet,Trinity-Net,satehaze1k_test_thin_001,thin,21.122337341308594,0.885012686252594,7.354337692260742
trinitynet,Trinity-Net,satehaze1k_test_thin_002,thin,20.511980056762695,0.8757052421569824,8.020776748657227
trinitynet,Trinity-Net,satehaze1k_test_thin_003,thin,19.82735252380371,0.8562802672386169,8.126625061035156
trinitynet,Trinity-Net,satehaze1k_test_thin_004,thin,22.174623489379883,0.8818893432617188,6.169187545776367
trinitynet,Trinity-Net,satehaze1k_test_thin_005,thin,19.774307250976562,0.8587552309036255,7.640676498413086
trinitynet,Trinity-Net,satehaze1k_test_thin_006,thin,22.928485870361328,0.8900457620620728,5.645876884460449
trinitynet,Trinity-Net,satehaze1k_test_thin_007,thin,22.3284912109375,0.8972335457801819,6.349803924560547
trinitynet,Trinity-Net,satehaze1k_test_thin_008,thin,21.28430938720703,0.8874241709709167,7.252723693847656
trinitynet,Trinity-Net,satehaze1k_test_thin_009,thin,20.101417541503906,0.8663457036018372,7.496656894683838
trinitynet,Trinity-Net,satehaze1k_test_thin_010,thin,19.629928588867188,0.8485377430915833,7.7306413650512695
trinitynet,Trinity-Net,satehaze1k_test_thin_011,thin,20.348674774169922,0.8623757362365723,7.579934597015381
trinitynet,Trinity-Net,satehaze1k_test_thin_012,thin,21.35877799987793,0.8790580034255981,6.607693672180176
trinitynet,Trinity-Net,satehaze1k_test_thin_013,thin,19.979413986206055,0.8575966954231262,7.5028767585754395
trinitynet,Trinity-Net,satehaze1k_test_thin_014,thin,21.19720458984375,0.890331506729126,6.967716217041016
trinitynet,Trinity-Net,satehaze1k_test_thin_015,thin,21.094552993774414,0.8852656483650208,7.348536014556885
