method_key,method_label,image_id,haze_level,psnr,ssim_gaussian11,deltaE00
psmbnet_review2026,PSMB-Net,rrshid_test_0281_2919,thin,18.98137855529785,0.5269424915313721,8.491633415222168
psmbnet_review2026,PSMB-Net,rrshid_test_0282_2931,thin,23.266746520996094,0.6164474487304688,5.077125549316406
psmbnet_review2026,PSMB-Net,rrshid_test_0283_2940,thin,23.31842803955078,0.6003192067146301,6.129143238067627
psmbnet_review2026,PSMB-Net,rrshid_test_0284_2946,thin,24.444599151611328,0.635205090045929,5.540696144104004
psmbnet_review2026,PSMB-Net,rrshid_test_0285_2953,thin,25.080387115478516,0.6434000134468079,4.743640422821045
psmbnet_review2026,PSMB-Net,rrshid_test_0286_2955,thin,22.502086639404297,0.6006786227226257,5.904687881469727
psmbnet_review2026,PSMB-Net,rrshid_test_0287_2956,thin,20.621002197265625,0.5627284049987793,7.456523895263672
psmbnet_review2026,PSMB-Net,rrshid_test_0288_2966,thin,20.620075225830078,0.5490942001342773,7.491150856018066
psmbnet_review2026,PSMB-Net,rrshid_test_0289_2976,thin,22.416906356811523,0.602729320526123,6.861763954162598
psmbnet_review2026,PSMB-Net,rrshid_test_0290_2993,thin,13.39501953125,0.2349669635295868,17.432920455932617
psmbnet_review2026,PSMB-Net,rrshid_test_0291_2996,thin,24.44497299194336,0.6074291467666626,5.959696292877197
psmbnet_review2026,PSMB-Net,rrshid_test_0292_2999,thin,25.63158416748047,0.6525448560714722,5.283341407775879
psmbnet_review2026,PSMB-Net,rrshid_test_0293_3008,thin,23.429523468017578,0.651989221572876,6.232178211212158
psmbnet_review2026,PSMB-Net,rrshid_test_0294_3044,thin,24.157325744628906,0.7584028244018555,6.289088249206543
psmbnet_review2026,PSMB-Net,rrshid_test_0295_457,thin,26.54214859008789,0.6892832517623901,5.932687282562256
psmbnet_review2026,PSMB-Net,rrshid_test_0296_46,thin,27.436330795288086,0.8331454396247864,3.5666146278381348
psmbnet_review2026,PSMB-Net,rrshid_test_0297_47,thin,26.42225456237793,0.7792890667915344,4.005374908447266
psmbnet_review2026,PSMB-Net,rrshid_test_0298_498,thin,24.35938262939453,0.615971028804779,4.842172145843506
psmbnet_review2026,PSMB-Net,rrshid_test_0299_57,thin,27.463668823242188,0.8153496384620667,8.396994590759277
